what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1218542341177
stopped,bundle,org.eclipse.cdt.debug.mi.ui,4.0.3.200802251018,org.eclipse.cdt.debug.mi.ui,1218542341407
stopped,bundle,org.eclipse.cdt.launch,4.0.3.200802251018,org.eclipse.cdt.launch,1218542341426
stopped,bundle,org.eclipse.cdt.debug.ui,4.0.1.200802251018,org.eclipse.cdt.debug.ui,1218542341432
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,4.0.1.200802251018,org.eclipse.cdt.managedbuilder.ui,1218542341451
stopped,bundle,org.eclipse.cdt.make.ui,4.0.1.200802251018,org.eclipse.cdt.make.ui,1218542341460
stopped,bundle,org.eclipse.cdt.ui,4.0.3.200802251018,org.eclipse.cdt.ui,1218542341463
stopped,bundle,org.eclipse.cdt.refactoring,4.0.1.200802251018,org.eclipse.cdt.refactoring,1218542341492
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1218542341492
activated,perspective,org.eclipse.jdt.ui,,org.eclipse.jdt.ui.JavaPerspective,1218542350331
started,bundle,org.eclipse.osgi,3.4.0.v20080605-1900,org.eclipse.osgi,1218542350332
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.0.v20080604,org.eclipse.equinox.simpleconfigurator,1218542350333
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1218542350333
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1218542350334
started,bundle,org.eclipse.core.databinding,1.1.0.I20080527-2000,org.eclipse.core.databinding,1218542350335
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1218542350335
started,bundle,org.eclipse.core.filebuffers,3.4.0.v20080603-2000,org.eclipse.core.filebuffers,1218542350336
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1218542350336
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1218542350337
started,bundle,org.eclipse.core.resources,3.4.0.v20080604-1400,org.eclipse.core.resources,1218542350338
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1218542350338
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1218542350339
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1218542350339
started,bundle,org.eclipse.equinox.app,1.1.0.v20080421-2006,org.eclipse.equinox.app,1218542350340
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1218542350340
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.0.v20080430-1750,org.eclipse.equinox.frameworkadmin,1218542350341
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.0.v20080529-1225,org.eclipse.equinox.frameworkadmin.equinox,1218542350341
started,bundle,org.eclipse.equinox.p2.core,1.0.0.v20080530-1237,org.eclipse.equinox.p2.core,1218542350342
started,bundle,org.eclipse.equinox.p2.director,1.0.0.v20080604,org.eclipse.equinox.p2.director,1218542350343
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.0.v20080505-1850,org.eclipse.equinox.p2.directorywatcher,1218542350345
started,bundle,org.eclipse.equinox.p2.engine,1.0.0.v20080522-1735,org.eclipse.equinox.p2.engine,1218542350346
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1218542350346
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.0.v20080506-1939,org.eclipse.equinox.p2.garbagecollector,1218542350347
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1218542350347
