what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.launch,4.0.3.200802251018,org.eclipse.cdt.launch,1218542617597
stopped,bundle,org.eclipse.cdt.debug.ui,4.0.1.200802251018,org.eclipse.cdt.debug.ui,1218542617598
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,4.0.1.200802251018,org.eclipse.cdt.managedbuilder.ui,1218542617599
stopped,bundle,org.eclipse.cdt.make.ui,4.0.1.200802251018,org.eclipse.cdt.make.ui,1218542617600
stopped,bundle,org.eclipse.cdt.ui,4.0.3.200802251018,org.eclipse.cdt.ui,1218542617601
stopped,bundle,org.eclipse.cdt.refactoring,4.0.1.200802251018,org.eclipse.cdt.refactoring,1218542617602
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1218542617602
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1218542617603
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1218542617604
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1218542617604
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1218542617605
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1218542617606
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1218542617607
stopped,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1218542617676
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1218542617684
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1218542617684
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1218542617689
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1218542617689
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1218542617689
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.help.ui,1218542617690
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.bugs,1218542617690
