what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218542513340
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218542567010
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218542572595
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1218542579490
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1218542579507
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1218542579522
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1218542579643
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1218542579969
stopped,bundle,org.eclipse.cdt.debug.mi.ui,4.0.3.200802251018,org.eclipse.cdt.debug.mi.ui,1218542580142
stopped,bundle,org.eclipse.cdt.launch,4.0.3.200802251018,org.eclipse.cdt.launch,1218542580144
stopped,bundle,org.eclipse.cdt.debug.ui,4.0.1.200802251018,org.eclipse.cdt.debug.ui,1218542580145
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,4.0.1.200802251018,org.eclipse.cdt.managedbuilder.ui,1218542580146
stopped,bundle,org.eclipse.cdt.make.ui,4.0.1.200802251018,org.eclipse.cdt.make.ui,1218542580147
stopped,bundle,org.eclipse.cdt.ui,4.0.3.200802251018,org.eclipse.cdt.ui,1218542580148
stopped,bundle,org.eclipse.cdt.refactoring,4.0.1.200802251018,org.eclipse.cdt.refactoring,1218542580149
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1218542580149
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1218542580161
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1218542580162
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1218542580162
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1218542580164
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1218542580172
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1218542580173
stopped,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1218542580202
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1218542580202
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1218542580203
